root_hair	non-hair_epidermis	QC	Stele	xylem_pole_pericycle	lateral_root_cap	Lateral_root	phloem_pole_pericycle	protophloem	developing_xylem	endodermis	companion_cells	Stele
AT5G64660	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G76360	0	1	0	0	0	1	0	0	0	0	0	0	0
AT3G02290	1	1	1	1	1	1	1	1	1	0	1	1	1
AT3G20020	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G69750;AT1G66590	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G53440	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G32720	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G05420	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G38840	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G05930	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G09890	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G60080	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G12570	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G45480	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G61210	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G27110	1	0	1	0	0	1	1	1	1	1	1	1	0
AT5G13700	0	1	1	0	1	0	1	1	1	0	1	1	1
AT1G21050	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G49830	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G46960	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G20850	0	1	1	0	1	1	1	0	1	1	1	0	1
AT1G35290	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G19660	1	1	0	0	0	1	0	0	0	0	1	0	0
AT5G27940	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78160	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G42540	0	1	1	1	1	1	1	1	1	1	1	1	1
AT5G41320	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G05510	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G12370	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G49630	0	0	1	1	0	1	1	0	0	0	1	0	0
AT1G53020	0	0	0	1	0	0	0	0	0	0	0	0	0
AT1G01160	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G16720	0	0	0	1	1	0	1	1	1	1	0	0	1
AT3G01670	0	0	0	0	0	0	0	0	1	0	0	1	0
AT1G27200	1	1	1	0	1	0	1	1	0	0	1	1	1
