AT1G11870,264350_at
AT1G11880,264393_at
AT1G11890,264373_at
AT1G11900,264392_at
AT1G11910,264344_at
AT1G11915,264345_at
AT1G11920,264391_at
AT1G11930,264349_at
AT1G11940,257422_at
AT1G11950,264390_at
AT1G11960,264389_at
AT1G11970,264388_at
AT1G11990,264387_at
AT1G12000,264386_at
AT1G12010,264346_at
AT1G12020,264385_at
AT1G12030,257421_at
AT1G12040,264347_at
AT1G12050,264396_at
AT1G12070,264395_at
AT1G12080,264342_at
AT1G12090,264371_at
AT1G12100,264370_at
AT1G12110,264348_at
AT1G12120,260995_at
AT1G12130,260994_at
AT1G12140,260993_at
AT1G12150,260992_at
AT1G12160,260991_at
AT1G12180,260990_at
AT1G12190,261024_at
AT1G12200,261023_at
AT1G12210,260996_at
AT1G12220,260966_at
AT1G12230,260967_at
AT1G12240,260969_at
AT1G12250,260968_at
AT1G12260,261022_at
AT1G12270,259519_at
AT1G12280,259535_at
AT1G12290,259534_at
AT1G12310,259538_at
AT1G12320,259520_at
AT1G12330,259528_at
AT1G12350;AT5G02080,259536_s_at
AT1G12360,259512_at
AT1G12370,259537_at
AT1G12390;AT1G12340,257513_s_at
AT1G12400,259529_at
AT1G12410,259521_at
AT1G12430,259513_at
AT1G12450,259530_at
AT1G12460,259531_at
AT1G12470,259532_at
AT1G12480,259514_at
AT1G12490,259522_at
AT1G12500,259523_at
AT1G12520,259511_at
AT1G12530,259533_at
AT1G12550,259524_at
AT1G12560,259525_at
AT1G12570,259526_at
AT1G12580,259484_at
AT1G12600,259527_at
AT1G12610,255937_at
AT1G12620,255938_at
AT1G12630,255927_at
AT1G12640,255928_at
AT1G12650,255929_at
AT1G12680,255936_at
AT1G12700,255935_at
AT1G12710,255931_at
AT1G12720,255932_at
AT1G12730,255939_at
AT1G12740,255934_at
AT1G12750,255933_at
AT1G12775,261194_at
AT1G12780,261211_at
AT1G12790,261205_at
AT1G12800,261206_at
AT1G12810,261209_at
AT1G12820,261195_at
AT1G12830,261207_at
AT1G12840,261210_at
AT1G12845,261203_at
